20231126	15:47:17	d8c4473e-391a-4040-80cf-d4e655e8933b	GET undefined 	 /new-page	 
20231126	15:47:18	cc5a1bbf-075d-46ef-9d76-fe8468ad1f43	GET undefined 	 /css/style.css	 
20231126	15:53:47	9ee8b74a-dae7-4c75-96d2-ad5f683f6c23	GET undefined 	 /new-page	 
20231126	15:53:47	39a0be72-7148-43d7-a196-1a2478587729	GET undefined 	 /css/style.css	 
20231126	15:58:43	7a0436b6-4518-458d-9042-6a641494ab49	OPTIONS https://www.google.com 	 /	 
20231126	15:58:43	a2e35259-890b-4bbe-9a41-384e38db3356	GET https://www.google.com 	 /	 
20231126	15:59:13	a2080cab-7018-498a-8aa8-36db538fb7b6	OPTIONS https://www.google.com 	 /	 
20231126	15:59:13	97a47b92-f756-4fff-b40b-bf0d394b9a10	GET https://www.google.com 	 /	 
20231126	16:00:12	3a24e8a9-2fa5-446f-bf9f-dfbe9b6faa61	GET undefined 	 /new-page	 
20231126	16:00:12	d4499ee0-d281-44c3-8142-d2bc496d1e07	GET undefined 	 /css/style.css	 
20231126	16:00:12	f18d5f06-f05b-4ee5-979f-bf141ca47504	GET undefined 	 /favicon.ico	 
20231126	16:19:04	db53276f-a12b-4aab-b602-0bbe94b308d7	GET undefined 	 /new-page	 
20231126	16:19:18	7a4aab8c-7bf3-41ed-a46a-1bf1e045e11d	GET undefined 	 /	 
20231126	16:20:35	ba04fe94-29c0-43d7-b396-5fb8663a2b59	GET undefined 	 /	 
20231126	16:20:36	5a1ec7cb-5383-476d-9354-b2bcbd3d5013	GET undefined 	 /	 
20231126	16:20:46	893a15d2-f060-4300-8012-fd6d4da75dfc	GET undefined 	 /	 
20231126	16:22:37	c5f8a83c-7a61-4f8c-97e8-56073d96ce32	GET undefined 	 /	 
20231126	16:22:37	ea0cb59c-2193-4500-8662-be19d93e689a	GET undefined 	 /css/style.css	 
20231126	16:22:45	96908fac-74c5-4f95-96df-704a2ac8b476	GET undefined 	 /	 
20231126	16:22:46	3e0f44f8-4be3-4d1d-a093-ceaac7c2e06b	GET undefined 	 /	 
20231126	16:23:49	f4caae36-a1db-4041-946b-4a8ffa7083f3	GET undefined 	 /	 
20231126	16:23:51	6c321c7e-6d65-463d-8369-a121adb792fd	GET undefined 	 /	 
20231126	16:24:16	d8da948d-c4eb-40e3-9c4d-41ad3847f505	GET undefined 	 /	 
20231126	16:24:36	c96b7161-3f38-46fd-a9b3-fe7992f301fb	GET undefined 	 /	 
20231126	16:27:36	a9c12849-0922-4cad-9e93-d617d107d9cf	GET undefined 	 /	 
20231126	16:27:37	fd4b9a92-8b54-4db5-9b99-611389df3d18	GET undefined 	 /	 
20231126	16:27:38	3725094c-1f13-40e7-b90e-d98c6621d70f	GET undefined 	 /	 
20231126	16:28:57	ac31373f-1240-4d49-943e-efeac54f8ad3	GET undefined 	 /	 
20231126	16:28:58	c816cde2-87b1-4df0-9a19-b659b8b09dfa	GET undefined 	 /	 
20231126	16:31:13	6918bcce-781d-4239-80b9-08a038b249ca	GET undefined 	 /	 
20231126	16:31:13	8857282f-b00f-415f-9c1a-5a8d2ebe77d1	GET undefined 	 /	 
20231126	16:31:38	77ab3743-48c2-4c82-b289-b18cd24e0854	GET undefined 	 /	 
20231126	16:32:23	d970fdbf-ea28-4fc3-a94e-8ec7dba48673	GET undefined 	 /	 
20231126	16:33:26	a4c3e3bf-2af1-4541-bf27-3b6f561ebc52	GET undefined 	 /	 
20231126	16:34:10	f28e4374-5e02-4efa-b958-311438e80510	GET undefined 	 /	 
20231126	16:34:11	101bde38-e73b-4fee-a518-bdce5b5ec0e9	GET undefined 	 /	 
20231126	16:34:18	0d9abe0c-0b64-4f2b-997c-18c7b3884fc3	GET undefined 	 /	 
20231126	16:34:19	5530c1ca-7a51-41c5-a7ed-a9e654f4df27	GET undefined 	 /	 
20231126	16:37:49	6edfda6c-f3c9-48b0-9696-4e45b9a5d4bb	OPTIONS https://www.google.lk 	 /	 
20231126	16:37:49	cb16b90d-e150-4849-8f27-6ecb785b5cc9	GET https://www.google.lk 	 /	 
20231126	16:41:24	1b939c15-60b4-494e-bbb6-453ba15b6dd6	OPTIONS https://www.google.lk 	 /	 
20231126	16:41:24	317632cd-ddae-42e4-886e-eaab315d6371	GET https://www.google.lk 	 /	 
20231126	16:41:28	99216624-85f2-4400-a8ca-895522ccb205	OPTIONS https://www.google.lk 	 /	 
20231126	16:41:28	6021ccc7-422b-4682-8793-1ac75b464011	GET https://www.google.lk 	 /	 
20231126	16:41:59	738489a2-f917-4306-8c1a-90524433dcdc	OPTIONS https://www.google.lk 	 /	 
20231126	16:41:59	c1be7f52-720d-4cbf-9e66-210de66c0d96	GET https://www.google.lk 	 /	 
20231126	16:42:18	4c8c9d72-4416-48e5-a7a3-0dd985ee4d2f	OPTIONS https://www.google.lk 	 /	 
20231126	16:42:18	48af3eb5-9daf-4c65-82f9-13933b36ebf2	GET https://www.google.lk 	 /	 
20231126	16:42:45	fb930831-09bd-4ef9-92f2-a8f4fd63fa68	GET undefined 	 /	 
20231126	16:43:08	6feb53c3-731c-438f-8042-8536cd349799	GET undefined 	 /	 
20231126	16:43:47	03abdeb8-933e-4d9d-a4d0-a1a19d678631	OPTIONS https://www.google.lk 	 /	 
20231126	16:43:47	fc6964bd-9563-47ba-ae4d-5fed2fc36960	GET https://www.google.lk 	 /	 
20231126	16:44:32	f951b75c-9ec9-44d3-9e32-58dcfded7e58	GET undefined 	 /	 
20231126	16:52:19	a254ffa4-c539-456c-90d5-21a7f64ab747	GET undefined 	 /	 
20231126	16:52:35	346a5f34-994d-405b-936c-38e80ed8b901	GET undefined 	 /	 
20231126	16:52:55	5ac2f179-936d-4fc7-9c8f-84ba2fee1a23	GET undefined 	 /	 
20231126	16:53:00	3c80b887-c476-481d-b71e-dc30177732ed	GET undefined 	 /	 
20231126	16:55:14	51249c39-5f9c-4d97-83b0-9eff256dd05c	GET undefined 	 /	 
